symbol,end,ico_end_marketcap,ico_token_price
MAN,2018-01-17,12592104,0.36
EVN,2018-01-17,100000000,
BAX,2018-01-16,10000000,
IPL,2018-01-16,18000000,
AID,2018-01-16,16200000,
BOON,2018-01-16,5000000,
CV,2018-01-16,19900000,
SRG,2018-01-15,3163809,
TKY,2018-01-15,22000000,
TNC,2018-01-14,20000000,
GAT,2018-01-14,14500000,
KEY,2018-01-14,21800000,0.015
ADB,2018-01-14,14000000,
MOT,2018-01-14,60300000,2.18
LALA,2018-01-13,20200000,
LATX,2018-01-13,14400000,
FKX,2018-01-12,15000000,
AXP,2018-01-12,20000000,
HQX,2018-01-11,18782400,
CHSB,2018-01-10,50000000,
ARY,2018-01-10,14400000,
NTK,2018-01-08,71700000,
CRPT,2018-01-06,47000000,
SHIP,2018-01-06,30000000,
FLP,2018-01-05,16100128,
CABS,2018-01-05,17635787,
THETA,2018-01-04,20000000,
ZIL,2018-01-04,2000000,
TIO,2018-01-04,31169749,1.08
ZIPT,2018-01-04,3000000,
TAU,2018-01-03,10000000,0.091
BEE,2018-01-02,10000000,
BLT,2018-01-01,41420705,1.16
SIG,2018-01-01,7605767,
DRG,2018-12-31,3929482,
COV,2018-12-31,18750000,
LNC,2018-12-31,10133235,
FIN,2018-12-31,41285458,
LOCICOIN,2018-12-31,7376751,
TELCOIN,2018-12-31,25000000,
STK,2017-12-29,17000000,
GLA,2017-12-29,14681250,
BDG,2017-12-28,22127834,0.0719
BKX,2017-12-28,70600000,1.48
JNT,2017-12-27,30000000,
CAN,2017-12-27,8336405,0.79
NOX,2017-12-26,2694156,
TPAY,2017-12-26,28680329,
SRN,2017-12-26,157885825,0.47
SOL,2017-12-25,2233700,
INS,2017-12-25,45756000,2.54
UTT,2017-12-25,30854682,0.9
ZEN,2017-12-24,46368226,
DAC,2017-12-23,20000000,
AGI,2017-12-22,32847814,
PROPS,2017-12-22,25000000,
QLC,2017-12-22,19300000,0.1
APPC,2017-12-20,15300000,0.27
IDH,2017-12-20,42715825,
HERO,2017-12-20,6149949,
KEY,2017-12-20,15800000,
ADITUS,2017-12-20,7100193,
CBT,2017-12-19,8820470,
MIRO,2017-12-19,2917120,
BRD,2017-12-19,20000000,0.78
EVE,2017-12-17,1333439,
CLOUT,2017-12-17,2651403,
SPHTX,2017-12-17,23470356,
VLB,2017-12-17,3505244,0.0716
NEU,2017-12-17,14790678,0.36
BNTY,2017-12-16,1602927,0.0165
NAS,2017-12-16,60000000,1.91
CL,2017-12-16,11860153,0.25
NGC,2017-12-16,45318896,1
MED,2017-12-15,21271251,0.0088
PRTS,2017-12-15,5738100,
DTT,2017-12-15,5516229,
UP,2017-12-15,18934021,
DBC,2017-12-15,11800000,0.0158
AIX,2017-12-15,4228920,0.35
GTO,2017-12-14,10000000,0.1
